headline,label
"मुंबईसह सांगली, सोलापूरकरांचं टोल नाय देणार !",state
पोलिसांना पाहुन पळाले अन् पितळ उघडे पडले !,state
"VIDEO पंकजा मुंडेंनी केलं शरद पवारांचं कौतुक, म्हणाल्या पवारसाहेब 'या' अभिनेत्यासारखे",state
पुणतांब्यात शेतकऱ्यांनी सरकारचं घातलं दहावं,state
"फडणवीस सरकारच्या या मंत्र्याचा बंगला बेकायदेशीर, काय आहे प्रकरण ?",state
"Mauni Amavasya 2019: या दिवशी ब्रह्मा, विष्णु आणि महेशही लावतात संगमात डुबकी, अमृत होतं पाणी",entertainment
धनगर आरक्षण समितीच्या कार्यकर्त्यांनी उपोषण सोडलं,state
मेरील स्ट्रीपला 20वं आॅस्कर नामांकन,entertainment
"बिग बाॅसचा राडा, सलमानच्या विरोधात पोलिसात तक्रार दाखल",entertainment
शनि चौथर्‍यावरील महिला प्रवेशाचा मार्ग अखेर मोकळा,state
बाहुबली-2 पाहिला नाही म्हणून कामावरून काढून टाकलं,entertainment
गडचिरोलीत माओवाद्यांच्या भूसुरुंग स्फोटात 12 जवान जखमी,state
लिफ्ट देऊन रिक्षाचालकानेच केला अल्पवयीन मुलीवर बलात्कार,state
मराठी बॉक्स क्रिकेट लीगच्या निमित्ताने,entertainment
नवाजुद्दीनवर त्याच्या पहिल्या गर्लफ्रेंडनं ठोकला 2 कोटींचा दावा,entertainment
"'3 इडियट्स'चे फुंसुक वांगडू केबीसीमध्ये, जिंकले 50 लाख",entertainment
"ना ऐश्वर्या,ना माधुरी, 'केबीसी 9'चं सूत्रसंचालन करणार अमिताभ बच्चनच !",entertainment
"एकाच साच्यातून चार रिव्हॉल्वर ?, चार जणांचा खून",state
"3 चेहरेमध्ये प्राजक्ता माळी, मिलिंद जोशी आणि आतिषा नाईक",entertainment
ऊस दर आंदोलन:मुख्यमंत्री घेणार राजू शेट्टींची भेट,state
"कोलकाता 'जितबो रे', दिल्लीवर शानदार विजय",sports
साहित्य संमेलनाची ग्रंथदिंडी,state
वीरपत्नी स्वाती महाडिक लेफ्टनंटपदी रुजू,state
"'धोनी ब्रिगेड' 'विराट सेने'वर भारी, चेन्नई पहिल्या स्थानावर !",sports
"पोटच्या मुलीशी अनैतिक संबंध असल्याच्या संशय, जातपंचायतीची आमानुष शिक्षा",state
ठाण्याच्या महापौरपदी शिवसेनेच्या संजय मोरेंची निवड,state
कर्जाला कंटाळून शेतकरी भावांची आत्महत्या,state
गायक अभिजीतची ट्विटरनं केली बोलती बंद,entertainment
Election 2019 : शरद पवारांनी माढ्यातून माघार घेण्याची ही आहेत 5 कारणं,state
कोण होणार कोल्हापूरचा 'सुभेदार' ?,state
'बाहुबली'च्या कुंकवाची चित्तरकथा,entertainment
युवकांसाठी फडणवीस सरकारचं भन्नाट दिवाळी गिफ्ट; 4738 पदांवर होणार भरती!,state
महाराष्ट्राचं मिनी काश्मीर गारठलं; पारा 9 अंशाखाली!,state
'50 लाख लोकसंख्येचा देश वर्ल्ड कप खेळतो आणि आपण हिंदू- मुस्लिम खेळतोय' - हरभजन सिंग,sports
यात्रेकरूंच्या नातेवाईकांना अजितदादांनी ठेवलं ताटकळत,state
"गॅस सिलेंडरचा स्फोट, कुटुंबातील चौघांचा होरपळून मृत्यू",state
"'युती' झाली नाही तर फटका बसणार, भाजपच्या बैठकीत खासदारांची चिंता!",state
महाआघाडीला 'इंजिन' जोडण्यासाठी 'घड्याळ' उत्सुक; नांदगावकरांनी केलं 'हे' सूचक वक्तव्य,state
"कोपर्डी बलात्कार आणि खून खटल्यात तिन्ही आरोपी दोषी सिद्ध, 21 नोव्हेंबरला सुनावणार शिक्षा",state
न्यूज18लोकमत इम्पॅक्ट : लाखो वारकऱ्यांसाठी चंद्रभागेत उजनी धरणातून सोडलं पाणी,state
"सांगलीकर स्मृतीकडे टीम इंडियाची कमान, विश्वचषकाबद्दल म्हणते...",sports
संभाजी ब्रिगेडमध्ये फूट;प्रवीण गायकवाड नव्या ब्रिगेडचे अध्यक्ष,state
आझादसाठी आमिर खान बनला सांता !,entertainment
'बिनकामाचे संवाद'च्या निमित्तानं,entertainment
विराट नंबर  1,sports
VIDEO : शेतकरी प्रश्नावरून राजू शेट्टींचा मुख्यमंत्री फडणवीसांवर गंभीर आरोप,state
"दाक्षिणात्य सुपरस्टार महेश बाबूने रचला इतिहास, कोणताच बॉलिवूड कलाकार हे करू शकत नाही",entertainment
९७वं नाट्य संमेलन उस्मानाबादला होणार,entertainment
ठाण्यात महिला पोलीस कॉन्स्टेबलची गळफास लावून आत्महत्या,state
बंजारा समाजाचा होळीचा जलसा,state
'गौरी आल्या घरा'मध्ये इशा केसकर,entertainment
पारोळामध्ये छत कोसळून चौघांचा मृत्यू,state
महाराष्ट्राच्या राज्यपालांचा राजीनामा देण्यास नकार,state
आकाश अंबानीच्या मेहेंदी कार्यक्रमात प्रियंका चोप्रा!,entertainment
PHOTOS : आलिया पुन्हा एकदा होतेय ट्रोल; कारण आहे या 'नाईट ड्रेस'ची किंमत,entertainment
'मराठा क्रांती मोर्चाचे कुठलेही समन्वयक मुख्यमंत्र्यांच्या भेटीला जाणार नाहीत',state
"नांदेड-मनमाड पॅसेंजरला आग, प्रवाशांची सुरक्षा ऐरणीवर",state
बाॅलिवूडचा गाॅडफादर सलमाननं शाहरुखलाही केलं होतं लाँच,entertainment
...छगन भुजबळ बेपत्ता !,state
देवेंद्र फडणवीस लवकरच माजी मुख्यमंत्री होतील - संजय राऊत,state
सेनेचे खा. वाकचौरे करणार काँग्रेसमध्ये प्रवेश,state
एकटा विराट 730 दिवसांपासून पडतोय पाकिस्तानवर भारी,sports
दाभोलकर आणि पानसरेंवर हल्ल्यामागे सूत्रधार एकच -एन.डी.पाटील,state
मी 'या' अटीवरच लग्न करेन - मुक्ता बर्वे,entertainment
कराडमध्ये भाजप नेत्याची महिला पोलिसाला दमबाजी,state
"नगरपरिषदेच्या दुसऱ्या टप्प्यात सरासरी 72 टक्के मतदान, दिग्गजांचा भवितव्य मतपेटीत बंद",state
"कोल्हापुरात टोलविरोधात एल्गार, टोलवसुलीचा प्रयत्न हाणून पाडला",state
"'काॅफी विथ करण' होतोय सुरू, 'या' कलाकारांची असेल उपस्थिती",entertainment
एका पर्वाचा अस्त,sports
दक्षिण आफ्रिकेतून अचानक अनुष्का का परतली?,entertainment
"कोर्टाच्या आदेशानंतर एसटीचा संप अखेर मागे, प्रवाशांना भाऊबिजेला दिलासा",state
"रावते तुमचा कर्मचाऱ्यांवर भरोसा नाय का?,संतप्त कर्मचाऱ्यांचा सवाल",state
फिल्म रिव्ह्यु :'2 स्टेट्स' !,entertainment
बॉलिवूडचा भाईजान !,entertainment
जायकवाडीचं पाणी अडवण्यासाठी नेतेही रस्त्यावर उतरले,state
"पुण्यातील RTI कार्यकर्त्याचा मृतदेह ताम्हिणी घाटात, कुटुंबाकडून हत्येचा संशय",state
भोसरी एमआयडीसी प्रकरणात एकनाथ खडसेंना एसीबीची क्लीन चिट,state
'हाच माझा मार्ग',entertainment
फराह खान करणार मिस वर्ल्ड मानुषी छिल्लरला बॉलिवूडमध्ये लाँच?,entertainment
शेतकऱ्यांच्या लेकींचे अन्नत्याग...ते आजच्या 5 महत्त्वाच्या बातम्या,state
"रेकाॅर्डब्रेक कामगिरी, लातूरसाठी आता 25 लाख लीटर पाणी घेऊन 'वॉटर एक्स्प्रेस' निघणार !",state
"पीएचडीचा काळाबाजार करणारी गीता पाटील मोकाट, विद्यार्थ्यांचीच मुस्कटदाबी",state
'शिवाजी अंडरग्राउंड इन..' @200,entertainment
कॉ. पानसरे यांच्यावर 2 बंदुकीतून 5 गोळ्या झाडल्या!,state
VIDEO : बिग बींनी लगावला भाजपच्या मंत्र्याला टोला,entertainment
कोकण रेल्वेची वाहतूक पुढचे 14 तास ठप्प,state
"महाराष्ट्राच्या राजकारणात आणखी एका पक्षाची एंट्री, लोकसभेसाठी 14 उमेदवारांचीही घोषणा",state
PHOTOS ३ सामन्यांत ३ नवे गडी : भारतीय क्रिकेटपटूंनी तिसऱ्यांदा रचलाय हा इतिहास,sports
"मुख्यमंत्र्यांच्या हेलिकॉप्टर अपघाताला 1 वर्ष पूर्ण, पण कांबळे कुटुंबाला नुकसान भरपाई नाहीच",state
"राणेंना चपराक, 'अक्षता'चा भूखंड बेकायदेशीर",state
देवदूत मच्छीमाराने वाचले 'त्या' तिघांचे प्राण,state
प्रख्यात गायक मुकुल शिवपुत्र यांच्याकडून चोरट्याने 75 हजार लांबवले,state
मराठा आरक्षणाविरोधातील याचिका MIM आमदार इम्तियाज जलील यांनी घेतली मागे,state
पाथर्डीत अडीच लाखांची लाच घेताना पोलीस निरीक्षकाला अटक,state
"शेतकऱ्यांची क्रूर थट्टा, पीक विम्याचा मिळाला फक्त एक रूपया",state
PHOTOS : सनी लिओनने केरळसाठी खरंच 5 कोटींची मदत केली का ?,entertainment
राज्यातल्या काही साखर कारखान्यांनी थकवले शेतकर्‍यांचे 1800 कोटी रुपये,state
विराट कोहलीचा डुप्लिकेट तुम्ही पाहिलात का?,state
'इंदू सरकार'च्या विरोधात नागपुरात काँग्रेस कार्यकर्त्यांची निदर्शनं,entertainment
"लष्कराची स्पेशल ट्रेन रूळावरून घसरली, डब्यात शस्त्रसाठा?",state
आमिरशी टक्कर घ्यायला फैझल खान तयार,entertainment
"नागपुरात रिकाम्या फ्लॅटमध्ये सापडली 1 कोटी 87 लाखांची रोकड, 4 जणांना अटक",state
"'सुपर 30'चं फर्स्ट लूक रिलीज, हृतिक रोशनचा वेगळा अवतार",entertainment
"ईराणी चषक : मुंबईकर फ्लॉप, हनुमा विहारीच्या शतकाने शेष भारताला सावरले",sports
"इतकी टीका होतेय तर स्वत:हून राजीनामा द्यावा, नानांचा चौहानांना सल्ला",state
"उगम 'गिरणगाव महोत्सवा'चा - दत्ता इस्वलकर, अनिता पाटील",state
लालन सारंग यांची रंगमंचावर रिएंट्री,entertainment
'अनब्रेकेबल' मेरी कॉम,sports
राम कदम यांचं नाव 'रावण' कदम ठेवा - अजित पवार,state
"अणेंना उपरती, महाराष्ट्राचा केक कापल्याबद्दल मागितली माफी",state
"रणवीर-दीपिका जून-जुलैमध्ये लग्नबंधनात, करणार डेस्टिनेशन वेडिंग!",entertainment
"सचिन तेंडुलकर होऊन तुम्हीही खेळून शकतात, 'सचिन सागा..' गेम लाँच",sports
"ऑस्ट्रेलियाचा विजयी 'चौकार', भारताचा पुन्हा लाजिरवाणा पराभव",sports
"जेव्हा पंकजा मुंडे आणि पूनम महाजन म्हणतात, कुछ कुछ होता है!",entertainment
"पावसासाठी पर्जन्ययज्ञ करायला हवा, शंकराचार्यांचा सल्ला",state
गडकरींच्या 'राज'नितीमुळे शिवसेना नाराज,state
गुजरातच्या निवडणूक निकालांचा अन्वयार्थ काय ?,state
युतीचे सरकार आणूच -फडणवीस,state
VIDEO : बॉलिवूडच्या या सेलिब्रिटीजकडून शिकून घ्या अर्थसंकल्प,entertainment
संजय दत्तला करायचंय माधुरीशी लग्न!,entertainment
"वेस्ट इंडीजच्या या खेळाडूने विवियन रिचर्डसला टाकलं मागे, केला हा विक्रम",sports
पावसामुळे राज्यातील धरणं भरू लागली...,state
"फडणवीस म्हणतात, 'राजकारणातही खूप रेडे आहेत, पण...'",state
"सेना संपलीय, बाण तर मीच काढून आणलाय -राणे",state
"'अर्ज' किया है, कुठे शक्तीप्रदर्शन तर कुठे गुपचूप !",state
आदिवासी वर्गात आरक्षण मिळवण्यासाठी धनगर समाज आक्रमक,state
अमिताभ बच्चन यांच्या अनधिकृत बांधकामाला एमआरटीपीची नोटीस,entertainment
अखेर 'त्या' नरभक्षी वाघाचा खात्मा,state
अग्निशमन दलावरचा अॅक्शनपट 'अग्निपंख',entertainment
विराट कोहलीला चौथ्यांदा मिळणार बीसीसीआयचा सर्वात मोठा पुरस्कार,sports
आरबीआयचे गव्हर्नर उर्जित पटेल यांचा राजीनामा,state
'मामा' वाद- विजय चव्हाणांना भेटण्यावरून जितेंद्र जोशीने सचिन कुंडलकरला फटकारलं,entertainment
...आणि म्हणून सलमान त्याचे सिनेमे ईदलाच प्रदर्शित करतो !,entertainment
"उत्तर कोकण, वर्ध्यातही मराठा मूक मोर्चा",state
"VIDEO : लोकलचे खडखडणारे रुळ,अस्वस्थ मन, 'डोंबिवली रिटर्न'चा टीझर लाँच",entertainment
मिलिंद एकबोटेंना अखेर जामीन मंजूर,state
नाशिकमध्ये विद्याथिर्नीवर सामूहिक बलात्कार,state
बॉलिवूडमध्ये सिनेमाच्या पोस्टरवर  क्रिएटिव्हिटी 'झिरो',entertainment
"अशीही पाणीचोरी, थेट अग्निशमन दलाची गाडीच बोलावली घरी !",state
ओबामांच्या पहिल्याच कलाकृतीसाठी  प्रिया स्वामीनाथनला पसंती,entertainment
'शिवाजी अंडरग्राऊंड'ला   हिंदुत्ववादी संघटनेचा विरोध,state
"मला जो कटू अनुभव आला,तो अजित-सुप्रियांच्या वाट्याला येऊ नये -पंकजा मुंडे",state
पत्नी आणि मुलीचा खून करून पतीने केली आत्महत्या,state
स्पेशल रिपोर्ट : सरकारी 'बाबू' रिटायर होत नाही !,state
अण्णा हजारेंना दीनानाथ मंगेशकर जीवनगौरव,entertainment
"विम्याच्या पैशासाठी चैतन्यची हत्या, आईने दिली कबुली",state
भीमा कोरेगाव प्रकरण राजकीय लोकांनी मुद्दाम घडवलं-मा गो वैद्य,state
परळीमध्ये गोपीनाथगडाचं लोकार्पण,state
"शिर्डीत रामनवमीचा उत्साह, दर्शनासाठी आज रात्रभर खुलं राहणार मंदिर",state
मुंबईला पोहचताच शाहरुखने सर्वात आधी घेतली 'तिची' भेट !,entertainment
"सातार्‍याचे कर्नल महाडिक सीमेवर शहीद, उद्या होणार अंत्यसंस्कार",state
राज्यात स्वाईन फ्लू आता पूर्णपणे नियंत्रणाखाली -सावंत,state
"अमित शहा अचानक मुंबई भेटीवर, मंत्रिमंडळ विस्तार होणार का?",state
"गडकरी 'त्या' वक्तव्यावर अजूनही ठाम; म्हणतात, '...तर देशाचे 40 हजार कोटी वाचतील'",state
"प्लास्टिक बंदीची पहिली कारवाई, लोणावळ्याच्या वाईन शाॅपला 10 हजाराचा दंड",state
'जाने भी दो यारो'चे  दिग्दर्शक कुंदन शहा काळाच्या पडद्याआड,entertainment
नाशिकमध्ये आसाराम बापूच्या आश्रमावर हातोडा,state
अंबाबाईच्या गाभाऱ्यात सीसीटीव्ही कॅमेऱ्याला पुजाऱ्यांचा विरोध,state
"'जाच'पंचायत, 20 वर्षांपासून गोरीवले कुटुंब गावाबाहेर !",state
"आधी आमिरसोबत जोडलं गेलं नाव, आता बनली शाहरुखची हिराॅइन",entertainment
सफारी मिक्टाची!,entertainment
शहीद चंद्रकांत गलंडेंवर लष्करी इतमामात अंत्यसंस्कार,state
युपीएससीचे निकाल जाहीर; उस्मानाबादचा गिरीश बडोले राज्यात पहिला,state
धावत्या कारमध्ये पतीने केली पत्नीची हत्या,state
टोलचा बाप कोण? - आर.आर.पाटील,state
...आणि सलमानला रडू फुटलं!,entertainment
"पाकिस्तान वर्ल्डकपबाहेर, रविवारी भारत-ऑस्ट्रेलियामध्ये क्वार्टरफायनल",sports
"अखेर विद्यार्थी जिंकले, आजपासून पाचही मॉडेल स्कूल सुरू",state
घरगुती आणि व्यावसायिक वापरासाठी साखरेचे दोन दर,state
"Video : आदेश भाऊजींसोबत विक्रांत सरंजामे,गुरू आणि राधिका झाले 'झिंगाट'",entertainment
"काय आहे बजेटकडून तुमच्या अपेक्षा, कमेंट करा",state
"तापी मेगा प्रकल्पाला केंद्राची मंजुरी, राज्यातील 4 लाख हेक्टर जमीन येणार सिंचनाखाली",state
राज्यातील रखडलेले 107 सिंचन प्रकल्प मार्गी लागणार -मुख्यमंत्री,state
"नागपुरात स्वाईन फ्लूचे आणखी 2 बळी, मृतांची संख्या 30 वर",state
"दुष्काळावर मात, मृत नदीलाच दिले जीवदान !",state
अफलातून फिल्डिंग पण सोशल मीडियवर चर्चा क्रिकेटच्या 'या' नियमाची,sports
सोनाली कुलकर्णीच्या फिटनेसचं रहस्य दडलंय भाकरी आणि टेकडीत!,entertainment
"वेट लाॅसचा प्रयत्न अंगाशी, महिलेच्या मेंदुला इजा !",state
असा हा डॉग शो !,state
ढोल ताशांच्या गजरात पाचही मानाच्या गणपतींची मिरवणूक सुरू,state
'अवनीला ठार मारणं म्हणजे थंड डोक्यानं तिचा केलेला खूनच',state
'अबराम'चं गर्भलिंग निदान केलं नाही',entertainment
महायुती अडकली मुंडे-गडकरी वादात,state
'ती फुलराणी' पुन्हा रंगमंचावर,entertainment
"...पण शिक्षा फक्त कलाकारालाच का?, प्रियांका चोप्राचा सवाल",entertainment
"VIDEO : चेन्नई एक्स्प्रेसमध्ये बॉम्बची अफवा,बेवारस सुटकेसमध्ये सापडली गॅसबत्ती",state
सलीमभाईची 'मनसे' गोसेवा !,state
कपिल शर्माची बायको आता 'कसौटी जिंदगी की 2'मध्ये!,entertainment
"खंडाळा घाटात दुधाचा टँकर डिव्हायडरला धडकला, चालकाचा जागीच मृत्यू",state
सचिन तेंडुलकरही रिओ ऑलिम्पिकसाठी गुडविल अॅम्बेसेडर,sports
"मुख्यमंत्री फडणवीस परदेश दौऱ्यावर, राज्याची जबाबदारी या तीन मंत्र्यांवर",state
प्रेक्षकांचे बाप्पा (6),entertainment
'शेतकरी नवरा नको गं बाई!' ग्रामीण भागात 3 हजार तरुणांचे विवाह रखडले !,state
"संजय दत्तला 8 महिन्याआधी का सोडलं ?, हायकोर्टाने राज्य सरकारकडे मागितला खुलासा",entertainment
"VIDEO : अरे तो बुडतोय,पण काकासाहेबाला वाचावला कुणीच आलं नाही !",state
"शिवसेनेला सत्ता मिळाली नाही तरी चालेल, पण भाजप नको : उद्धव ठाकरेंची रणनीती",state
'व्हॅलेंटाईन डे'चा विरोध म्हणून बजरंग दलाने लावलं गाढवाचं लग्न!,state
खंडेरायाच्या 'मर्दानी दसरा' सोहळ्याची सांगता,state
सनी लिओनीच्या बोल्ड लुकचं रहस्य आहे या माणसाच्या हाती!,entertainment
"भारताचा द.आफ्रिकेवर दणदणीत विजय,मालिकाही खिश्यात",sports
"पोलीस बंदोबस्तात पद्मावत राज्यभरात प्रदर्शित, सर्व शोज हाऊसफुल्ल",state
कोकण रेल्वेचं पावसाळी वेळापत्रक आजपासून लागू,state
रितेश आणि रवीचा 'बॅन्जो',entertainment
"LIVE : #शेतकरीसंपावर, संपूर्ण अपडेट्स एकाच पेजवर",state
"हाफ गर्लफ्रेंड : मैत्रिणीपेक्षा जास्त,गर्लफ्रेंडपेक्षा कमी",entertainment
'हाफ गर्लफ्रेंड'मुळे चेतन भगतला मागावी लागली माफी,entertainment
"VIDEO : आंदोलकांकडून भाजपला जशास तसं उत्तर, स्टंट करून समजावला फरक",state
आता काँग्रेसच्या उमेदवारांनी घेतली संविधानाची शपथ,state
"केडीएमसीसाठी काँग्रेस-राष्ट्रवादीची आघाडी, 56-41चा फॉर्म्युला !",state
एक्स्प्रेस वेवर वाहतूक कोंडीचे पाठवा फोटो,state
विद्यार्थिनीशी अश्लील चाळे करणारा शिक्षक गजाआड,state
अभिग्यान महोत्सवात डाॅ. उदय निरगुडकर यांचं विद्यार्थ्यांना मार्गदर्शन,state
अण्णांनी उपोषण मागे घ्यावं -थोरात,state
VIDEO : नवनीत राणांची सेना खासदार अडसूळ यांच्याविरोधात कोर्टात धाव,state
"माइंड इट...थलाइवा वडाळ्यात !, चाहत्यांच्या उड्या...",entertainment
राज्यातल्या 6 जिल्ह्यांना फ्लोरोसिसचा विळखा,state
"राजेश श्रृंगारपुरे म्हणाला, 'माझं आणि रेशमचं नात म्हणजे...!'",entertainment
VIDEO : कुठली मालिका आहे नंबर वन? #TRPमीटर काय सांगतोय बघा,entertainment
"हृतिक रोशन आणि सुझान पुन्हा एकदा लग्नबंधनात, सूत्रांची माहिती",entertainment
"कोल्हापूरमध्ये संततधार, 30 गावांचा संपर्क तुटला",state
"राज्यात कडाक्याची थंडी, मुंबईसह उत्तर महाराष्ट्राचं तापमान घसरलं",state
"युवराज ऑफ पटियालच्या मागेच राहिला पृथ्वी शॉ, कधीही तोडू शकणार नाही हा रेकॉर्ड",sports
पुणे : समलैंगिक संबंधाला नकार दिल्याने तरुणावर चाकू हल्ला,state
राज ठाकरेंनी उद्घाटन केलेल्या कार्यालयाची तोडफोड,state
मनालीत कंगनाचा 'एक बंगला बने न्यारा',entertainment
युट्यूबद्वारे प्रियांका चोप्रा सुरू करणार ट्रॅव्हल शो ! 'हे' आहे नाव,entertainment
अहमदनगरमध्ये बहुजन क्रांती मोर्चा,state
PHOTOS : अशी रंगली भैरवीची मंगळागौर,entertainment
ICC Women's World T20 : भारतीय महिला टीमने पाकचा उडवला धुव्वा,sports
कोल्हापूर पालिका पोटनिवडणुकीत भाजप ताराराणी आघाडीचा विजय,state
चेन्नईत होतोय करुणानिधींचा 95वा वाढदिवस साजरा,state
NEWS18 LOKMAT IMPACT : पिंपरीत 48 कोटी खर्च करून उभारणाऱ्या संतपीठाच्या कामाला स्थगिती,state
"VIDEO : सलमान खाननं रितेशच्या 'माऊली'चा ट्रेलर केला ट्विट, तुम्ही पाहिलात का?",entertainment
" मी पळून गेलो नाही, मला पळवून लावलं-सदाभाऊ खोतांचा शेट्टींना टोला",state
"धोणींचा विनिंग चौकार, पुण्याचा हैदराबादवर विजय",sports
"आबांच्या मुलीचं लग्न, पाणावलेले डोळे आणि ‘दादा’, ‘ताईं’ची धावपळ!",state
"IBN लोकमतच्या बातमीचा इम्पॅक्ट, आंबेगव्हाण गावातील विद्यार्थ्यांचा घोर संपला...",state
सचिनच्या शेवटच्या मॅचवर 800 कोटींचा सट्टा?,sports
'कपूर अॅण्ड सन्स'च्या टीमशी गप्पा,entertainment
इंग्लंडचा भारतावर दणदणीत विजय,sports
"विराट, जडेजा, रोहित नाही तर 'हा' आहे भारताचा नंबर वन फिल्डर",sports
VIDEO: कडेकोट बंदोबस्तात भीमा-कोरेगावमध्ये लाखो अनुयायी दाखल,state
नरेंद्र मोदींचा आज पुणे दौरा,state
इंदू मिलवरच्या बाबासाहेबांच्या स्मारकाचं 2020 मध्ये लोकापर्ण - मुख्यमंत्री,state
शरद पवारांची दिवाळी बारामतीत साजरी,state
VIDEO : भरमैदानात 'या' माजी क्रिकेटरची फाटली पॅन्ट!,sports
